Switzerland_Northwestern	4	Aargau
Nigeria_South	4	Abia
Cote dIvoire	4	Abidjan
Uganda	4	Abim
Philippines_Luzon_North	4	Abra
Italy_Abruzzo	4	Abruzzo
Yemen	4	Abyan
Yemen	4	Ad Dali'
Qatar	4	Ad Dawhah
Cameroon_Central	4	Adamaoua
Nigeria_South	4	Adamawa
Turkey_Mediterranean Region	4	Adana
US_Tennessee_East	4	Tennessee
US_Tennessee_East	4	TN
US_Tennessee_West	4	Tennessee
US_Tennessee_West	4	TN
Malaysia	4	Terengganu / ترڠڬانو
Vietnam	4	Tỉnh Hà Nam
Azerbaijan	4	Abşeron rayonu
Indonesia_West	4	Aceh
Brazil_North Region_West	4	Acre
Campo de Hielo Sur	2	Acuerdo de Campos de Hielo
Turkey_Aegean Region	4	Afyonkarahisar
Niger	4	Agadez
Uganda	4	Agago
Mexico_Central_West	4	Aguascalientes
Philippines_Mindanao	4	Agusan Del Sur
Jordan	4	Ajloun
Norway_Central	4	Akershus
Vietnam	4	Tỉnh Hà Tĩnh
Vietnam	4	Tỉnh Hòa Bình
Vietnam	4	Tỉnh Hải Dương
Vietnam	4	Tỉnh Hưng Yên
Ethiopia	4	Addis Abeba
Algeria_Central	4	Adrar ⴰⴷⵔⴰⵔ أدرار
Portugal_Islands	4	Ilhéu dos Rosais
Turkey_Southeastern Anatolia Region	4	Adıyaman
Ethiopia	4	Afar
Philippines_Mindanao	4	Agusan del Norte
Turkmenistan	4	Ahal
East Timor	4	Aileu
East Timor	4	Ainaro
US_Michigan_Grand Rapids	4	Little Traverse Bay Band of Odawas Reservation
US_Michigan_Lansing	4	Little Traverse Bay Band of Odawas Reservation
Philippines_Visayas	4	Aklan
Azerbaijan	4	Ağcabədi rayonu
Portugal_Islands	4	Ilhéus dos Rosais
Philippines_Mindanao	4	Iligan City
Turkey_Central Anatolia Region_Ankara	4	Aksaray
Nigeria_South	4	Akwa Ibom
Azerbaijan	4	Ağdam rayonu
Spain_Balearic Islands	4	Illes Balears
Portugal_Islands	4	Illhéu da Vila
US_Illinois_Chickago	4	Illinois
US_Illinois_Chickago	4	IL
US_Illinois_Elgin	4	Illinois
US_Illinois_Elgin	4	IL
US_Illinois_South	4	Illinois
US_Illinois_South	4	IL
US_Illinois_Springfield	4	Illinois
US_Illinois_Springfield	4	IL
US_Illinois_Rockford	4	Illinois
US_Illinois_Rockford	4	IL
Algeria_Central	4	Illizi ⵉⵍⵍⵉⵣⵉ إلـيـزي
Vietnam	4	Tỉnh Hậu Giang
Vietnam	4	Tỉnh Khánh Hòa
Yemen	4	Al Bayḑā’
Sudan_East	4	Al Baḩr al Aḩmar
Yemen	4	Al Mahrah
Chad	4	Bahr el Gazel
Mexico_California	4	Baja California
Mexico_California	4	Baja California Sur
Qatar	4	Al Ghuwariyah
Yemen	4	Al Jawf
Qatar	4	Al Jumaliyah
Qatar	4	Al Khawr
US_Michigan_Grand Rapids	4	Little Traverse Bay Bands Of Odawa Reservation
Vietnam	4	Tỉnh Kon Tum
Vietnam	4	Tỉnh Lai Châu
Yemen	4	Al Maḩwīt
Qatar	4	Al Wakrah
Djibouti	4	Ali Sabieh
Benin	4	Alibori
France_Lorraine_Moselle	4	Alsace-Champagne-Ardenne-Lorraine
France_Alsace_Bas-Rhin	4	Alsace-Champagne-Ardenne-Lorraine
France_Alsace_Haut-Rhin	4	Alsace-Champagne-Ardenne-Lorraine
France_Lorraine_Meurthe-et-Moselle	4	Alsace-Champagne-Ardenne-Lorraine
France_Lorraine_Meuse	4	Alsace-Champagne-Ardenne-Lorraine
France_Champagne-Ardenne	4	Alsace-Champagne-Ardenne-Lorraine
France_Lorraine_Vosges	4	Alsace-Champagne-Ardenne-Lorraine
Guatemala	4	Alta Verapaz
Paraguay	4	Alto Paraguay
Paraguay	4	Alto Paraná
Lithuania_East	4	Alytaus apskritis
Rwanda	4	Amajvepfo
Paraguay	4	Amambay
Brazil_North Region_East	4	Amapá
Turkey_Black Sea Region	4	Amasya
Colombia_East	4	Amazonas
Venezuela_South	4	Amazonas
Peru_North	4	Amazonas
Brazil_North Region_West	4	Amazonas
Samoa	4	American Samoa
Samoa	4	AS
Ethiopia	4	Amhara
Philippines_Luzon_Manila	4	Catanduanes
Colombia_West	4	Cauca
Philippines_Luzon_North	4	Cavite
Philippines_Luzon_Manila	4	Cavite
Vietnam	4	Tỉnh Long An
Vietnam	4	Tỉnh Lào Cai
Vietnam	4	Tỉnh Lâm Đồng
Yemen	4	Al Ḩudaydah
Syria	4	Al-Hasakah
US_Alabama_Birmingham	4	Alabama
US_Alabama_Birmingham	4	AL
US_Alabama_Montgomery	4	Alabama
US_Alabama_Montgomery	4	AL
Brazil_Northeast Region_East	4	Alagoas
Costa Rica	4	Alajuela
US_Alaska	4	Alaska
US_Alaska	4	AK
Romania_Centre	4	Alba
France_Centre-Val de Loire_Indre-et-Loire	4	Centre-Val de Loire
France_Centre-Val de Loire_Indre	4	Centre-Val de Loire
France_Centre-Val de Loire_Loir-et-Cher	4	Centre-Val de Loire
France_Centre-Val de Loire_Loiret	4	Centre-Val de Loire
France_Centre-Val de Loire_Cher	4	Centre-Val de Loire
France_Centre-Val de Loire_Eure-et-Loir	4	Centre-Val de Loire
Portugal_Porto	4	Centro
Portugal_Viseu	4	Centro
Portugal_South	4	Centro
Equatorial Guinea	4	Centro Sur
Vietnam	4	Tỉnh Lạng Sơn
Vietnam	4	Tỉnh Nam Định
Vietnam	4	Tỉnh Nghệ An
Vietnam	4	Tỉnh Ninh Bình
Vietnam	4	Tỉnh Ninh Thuận
Vietnam	4	Tỉnh Phú Thọ
Philippines_Luzon_Manila	4	Albay
Canada_Alberta_North	4	Alberta
Canada_Alberta_South	4	Alberta
Canada_Alberta_Edmonton	4	Alberta
Guernsey	4	Alderney
Uganda	4	Alebtong
Portugal_South	4	Alentejo
Syria	4	Aleppo
Hungary_Northern Great Plain	4	Alföld és Észak
Portugal_South	4	Algarve
Algeria_Coast	4	Alger - الجزائر
Algeria_Central	2	Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Algeria_Coast	2	Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر
Saint Martin	2	Anguilla
Anguilla	2	Anguilla
Turkey_Central Anatolia Region_Ankara	4	Ankara
Vietnam	4	Tỉnh Phú Yên
Vietnam	4	Tỉnh Quảng Bình
Vietnam	4	Tỉnh Quảng Nam
